1;2;3;4;5;6;7;8;9;10;11;12;13;14
192;Альфа;1613;Ж;09.07.1979;;;01.06.2009;9.59;9.59;9.59;185000.00;278596.00;Руководители
193;Альфа;1614;Ж;24.08.1968;;;01.06.2009;9.59;22.09;22.09;151000.00;212045.00;Специалисты и служащие
194;Альфа;1618;М;16.03.1978;;;22.06.2009;9.53;14.43;14.43;191000.00;310763.00;Руководители
195;Альфа;1621;М;20.04.1966;;;24.06.2009;9.53;9.53;9.53;83000.00;102281.00;Специалисты и служащие
196;Альфа;1627;Ж;05.02.1983;;;01.07.2009;9.51;13.16;13.16;0.00;40840.00;Специалисты и служащие
197;Альфа;1631;Ж;23.08.1983;;;06.07.2009;9.49;9.49;9.49;85500.00;106207.00;Специалисты и служащие
198;Альфа;1633;Ж;13.04.1985;;;20.08.2009;9.37;9.37;9.37;0.00;86347.00;Специалисты и служащие
199;Альфа;1640;Ж;25.05.1970;;;14.07.2009;9.47;9.47;9.47;0.00;0.00;Высшие менеджеры
200;Альфа;1642;М;29.05.1968;;;23.07.2009;11.19;13.86;13.86;82000.00;139158.00;Специалисты и служащие
201;Альфа;1655;М;09.03.1967;;;17.08.2009;9.38;25.87;25.87;141900.00;139991.00;Руководители
202;Альфа;1659;М;08.12.1971;;;24.08.2009;9.36;13.24;13.24;121000.00;162995.00;Специалисты и служащие
203;Альфа;1662;М;10.06.1981;;;13.09.2013;8.3;8.31;8.31;82000.00;127744.00;Специалисты и служащие
204;Альфа;1664;М;28.06.1972;;;20.08.2009;9.37;9.37;9.37;0.00;0.00;Высшие менеджеры
205;Альфа;1670;М;10.02.1973;;;24.08.2009;11.67;22.28;22.28;107000.00;197903.00;Специалисты и служащие
206;Альфа;1673;М;24.03.1961;;;28.08.2009;9.35;9.35;9.35;98000.00;169155.00;Специалисты и служащие
207;Альфа;1674;М;22.05.1979;;;25.08.2009;12.56;15.58;15.58;199000.00;267496.00;Руководители
208;Альфа;1687;М;02.08.1982;;;23.09.2009;9.28;12.91;12.91;178000.00;244980.00;Руководители
209;Альфа;1690;М;03.01.1984;;;23.09.2009;9.28;9.28;9.28;83000.00;110658.00;Специалисты и служащие
210;Альфа;1694;М;17.08.1980;;;28.12.2009;9.01;9.01;9.01;125400.00;189148.00;Специалисты и служащие
211;Альфа;1708;Ж;17.01.1984;;;14.10.2009;9.23;9.23;9.23;0.00;99011.00;Специалисты и служащие
212;Альфа;1720;Ж;26.07.1987;;;27.10.2009;9.19;9.19;9.19;99000.00;68150.00;Специалисты и служащие
213;Альфа;1746;Ж;20.02.1978;;;18.11.2009;9.13;9.13;9.13;66000.00;81828.00;Специалисты и служащие
214;Альфа;1751;М;24.02.1971;;;23.11.2009;9.11;9.11;9.11;252000.00;380585.00;Руководители
215;Альфа;1765;М;24.01.1971;;;11.11.2017;11.7;14.34;14.34;0.00;0.00;Высшие менеджеры
216;Альфа;1768;М;08.10.1978;;;04.12.2009;15.47;17.03;17.03;230000.00;299178.00;Руководители
217;Альфа;1770;М;20.11.1973;;;04.12.2009;9.8;17.84;17.84;107000.00;145251.00;Специалисты и служащие
218;Альфа;1773;Ж;12.05.1965;;;04.12.2009;9.08;18.96;18.96;94000.00;136133.00;Специалисты и служащие
219;Альфа;1780;Ж;22.05.1975;;;04.12.2009;9.08;10.09;10.09;93000.00;127380.00;Специалисты и служащие
220;Альфа;1781;М;12.08.1962;;;08.12.2009;12.95;35.68;35.68;148500.00;217206.00;Руководители
221;Альфа;1782;М;18.06.1967;;;08.12.2009;11.74;27.43;27.43;130000.00;189206.00;Специалисты и служащие
222;Альфа;1784;Ж;20.07.1960;;;04.12.2009;9.08;10.09;10.09;123000.00;161872.00;Специалисты и служащие
223;Альфа;1785;М;14.07.1975;;;04.12.2009;11.19;14.78;14.78;147000.00;195215.00;Руководители
224;Альфа;1786;М;06.07.1980;;;04.12.2009;11.9;14.81;14.81;102500.00;139769.00;Специалисты и служащие
225;Альфа;1787;М;27.03.1981;;;08.12.2009;9.87;13.02;13.02;119000.00;156729.00;Специалисты и служащие
226;Альфа;1800;М;23.06.1976;;;17.12.2009;11.26;19.62;19.62;0.00;232119.00;Руководители
227;Альфа;1806;Ж;15.06.1987;;;26.11.2009;9.11;9.11;9.11;111000.00;143637.00;Руководители
228;Альфа;1808;М;06.08.1982;;;18.12.2009;10.9;12.49;12.49;99000.00;134445.00;Специалисты и служащие
229;Альфа;1814;Ж;22.09.1984;;;19.12.2009;9.04;11.93;11.93;92500.00;140630.00;Специалисты и служащие
230;Альфа;1815;М;01.01.1960;;;17.12.2009;10.84;12.44;12.44;115000.00;157183.00;Специалисты и служащие
231;Альфа;1817;Ж;11.01.1962;;;17.12.2009;10.46;12.06;12.06;102000.00;141786.00;Специалисты и служащие
232;Альфа;1823;Ж;09.12.1979;;;08.12.2009;9.07;9.07;9.07;62000.00;80972.00;Специалисты и служащие
